"","번호","계정이름","작성일","내용"
"1",1,"ahkorea","11/2/2011","민주당의 ISD관련 주장이 전부 거짓으로 속속 드러나고있다. 미국이 ISD를 장악하고 있다고 주장하지만 중재인 123명 가운데 미국인은 10명뿐이라고 한다."
"2",2,"parkkeewoo","12/30/2011","말로만 '미제타도', 사실은 '미제환장'! 김정일 운구차가 링컨 컨티넬탈이던데 북한의 독재자나 우리나라 종북들이나 겉으로는 노동자, 서민을 대변한다면서 고급 외제차, 아이팟에 자식들 미국 유학에 환장하는 위선자들인거죠"
"3",3,"zndvn33","1/5/2012","한나라당이 보수를 버린다네요
뭔가착각하는모냥인에 국민들이보수를싫어하는게 아니라뻘짓거리하는분들을싫어하는겁니다야당이진보어쩌고저쩌고한다고해서그들을조아한다고생각하면대착각"
"4",4,"hong_jihee77","1/23/2012","FTA를 대하는 현명한 자세! 사실 자유주의 경제의 가장 큰 수해자는 한국이죠. 농어업분야 피해를 줄이는 정부대안을 최대한, 보완하고 일자리 창출 등 실익을 최대화해 나가는게 현실적인 대처자세일듯!"
"5",5,"ceasar1000","2/5/2012","곽노현씨 갈수록 가관입니다. 뇌물질에 아들 병역 의혹까지. 도대체 아이들이 뮐 보고 배우겠습니까? 이래도 자리 연연하시겠습니까?"
"6",6,"sunsetyellowsky","2/13/2012","과거 집권시 한미FTA를 적극 추진하던 세력이 이제 집권하면 폐기하겠다고 주장합니다. 어이없어 말도 안 나오네요. 표만 얻을 수 있다면 국가 안보나 경제가 어떻게 되든 상관없다는 무책임한 행태들, 우리 정치의 후진성을 드러내는 거죠."
"7",7,"snailcharm","2/22/2012","한미 FTA가 발효되면 대한민국은 단일 국가로는 세계 최대 시장인 미국과 시장을 공유하는 아시아 첫 국가가 되는군요. 이게 간단하고, 보통스런 이런 아니지. 대단한 거지."
"8",8,"type0789","2/23/2012","한미 FTA가 발효되면 대한민국은 단일 국가로는 세계 최대 시장인 미국과 시장을 공유하는 아시아 첫 국가가 된다.^^"
"9",9,"modular2","2/29/2012","2012년도 서울시 증등교사 임용고시 경쟁률이 평균 12:1이던데 아는지 곽노현 교육감이 전교조 출신 교사 특채 인사 계획을 재고 요청한다니...규정, 상식도 없이 인사권을 남용 하는걸 보니 2심재판에서 감옥에 갈것로 마음을 굳혔나 봅니다."
"10",10,"type0789","3/14/2012","RT @###e0789: RT @###kiSong한미FTA 발효가 코 앞으로 다가와있네요 글로벌 무역허브 국가로 등장한 한국의 도전을 세계가 주시하고 있는 만큼, 우리나라가 하루빨리 큰 결실을 맺을 수 있.."
"11",11,"modular2","3/15/2012","대한민국 재향군인회를 비롯한 안보단체 회원들이 오늘 오후 서울역 광장에서 천안함 2주기 추모식을 갖는군요. 천안함 전사자 46명을 추모하고 북한을 강력히 규탄할 예정이라네요. 이런 전국적인 추모 행사에 소위 진보단체들도 함께 해야 합니다."
"12",12,"kiminhye0","3/23/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"13",13,"kiminhye0","4/3/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"14",14,"ahkorea","4/5/2012","후보자 매수 혐의로 기소돼 1심에서 벌금 3천만원을 선고받은 곽노현 서울시 교육감에 대한 항소심 선고공판이 17일에 열린다. 제발 이런 파렴치한 교육감이 빨리 교육계를 떠나도록 해줬으면 좋겠다."
"15",15,"cityofgold123","4/6/2012","요즘 대세는 막말지존? 풍자는 성폭력이나 반인권적 독설이 아닌거죠! 팬클럽만 수십만명이라는 나꼼수의 인기만 믿고 기본적인 인격도, 상식도, 품위도 없는 사람이 국회로 가겠다구요? 자기와 다르면 이유불문하는 독설에 국회와 나라가 개판 될지도.."
"16",16,"shore0987","4/13/2012","북한 미사일이 오늘 비록 실패는 했다지만 기본기술력은 가지고있는겁니다. 언제든지 우리 머리위에 떨어질수있다는 얘기죠. 이럼에도 불구하고  우리정당들은  뭐하는건지 그흔한 성명서 하나 안보이니 말입니다. 종북당은 이번실패가 안타까운건 아니죠?그쵸?"
"17",17,"bushbrain15","4/19/2012","문성근 민주통합당 대표대행이 자신이 부산에서 낙선한 이유에 대해서는 부산 젊은이들이 나꼼수를 안 듣는 언론 환경 때문이라고 말했다는데, 정말 어이없다."
"18",18,"uccsns","4/19/2012","김구라, 완전 친북, 종북 대표들과 함께 시위를 다녔네요. 그의 실체가 드러나네요. 김제동, 김미화 급과는 비교도 안되는 엄청난 종북좌빨 연예인 이네요. 김구라 구해서 진보 좌파들 행동대원으로 활용하려하는데, 김구라 진정 반성하고 처신잘해야..."
"19",19,"odettejoo","4/25/2012","북한의 로동신문이 '오늘은 쉽네다' 라고 한 이유 ㅋㅋㅋ 통진당에게 있었네"
"20",20,"yesstory365","4/26/2012","미국산 쇠고기 수입금지를 인도네시아에서 했는데 말야.  역시 후진국일수록 설레발임    과학적 사실보다 루머에 약하기 때문이죠...    우리나라도 종북세력이 선동하는것을  학교다닐때 과학과목보다는 북한사상집만 열라 팠기때문이죠"
"21",21,"yesstory365","4/29/2012","미국에서 갈비 먹고 탈 낫다는 보고는 한 번도 없다. 괜히 종북, 반미 한심한 인간들 선동에 놀아나지 말기 바란다. 한국 언론들이 너무 문제를 키우고 선동하는 것 같다. 냄비 근성인가?"
"22",22,"dinghoa","4/30/2012","일본, EU 등 까다로운 국가들도 수입 중단조치 없다고 하네요. 또한 미국의 감시 시스템이 그만큼 신뢰할 수준이라고... 그런데 왜 우리만 날리를 칠까요? 반미종북세력들이 선동질을 해서는 아닐까요?"
"23",23,"dinghoa","5/1/2012","한미FTA 영향으로 3월부터 경상수지 흑자폭이 확대되고 있다네요. 경제대국으로의 도약,  우리 모두 화이팅!!!"
"24",24,"dinghoa","5/4/2012","진보당이 발악을 하고있다. 버틸수록 공멸한다는 것을 모른다. 그러고도 진보라는 말을 쓰는 것이 부끄럽다. 종북당 단지 종북당일뿐이다. 반민주적인 독대 종북당..."
"25",25,"odettejoo","5/4/2012","광우병 시위 국민들이 외면하는 현상이 벌어진 가장 큰 이유는 광우병에 대한 정확한 지식이 널리 확산된,

일종의 학습효과의 영향이 가장 크다는 분석이 있던데.. 더 이상 좌파들의 선동질은 힘들듯합니다."
"26",26,"odettejoo","5/5/2012","진보든 보수든 이런 최소한의 원칙을 지켰을 때 비로소 제도권 정당정치권에 들어설 자격이 주어진다.

그런데 진보당은 이런 최소한의 의무조차 무시했다."
"27",27,"odettejoo","5/5/2012","열악한 정치환경에서 살아남기 위해 민주적 절차를 무시하는 것을 용인하고,

나아가 당연시하던 모습이 연상된다.

진보당 지도부, 적어도 이번 사태를 주도한

당권파는 30년 전 운동권의 미몽에서 깨어나지 못한 듯하네~!!"
"28",28,"odettejoo","5/6/2012","만약 지금도 그렇게 종북세력을 일반국민이 지지해주면, 북한은 자기들 약발이 먹는다고 심심하면 미사일 쏘고 방사포도 함께 날릴 거야... 무슨 말인지 모두 알겠죠?"
"29",29,"odettejoo","5/6/2012","김일성때부터 지금까지 북한은 남한에 있는 공산당을 지원해 왔다.


이들은 주사파나. NL계, Pl계 등을 기반으로 많은 종북이들이 양의 탈을 쓰고 민주 통 무슨당,."
"30",30,"odettejoo","5/6/2012","종북이들을 지원하기 위해 북한 놈들이 연평도 공격하고, 천안함 등을 공격하고 그랬잖아?그때 우리 젊은 병사들이 아무런 이유가 없이 차가운 물속에서 전사했어 잖아?남한 종북이들~~ 특히 종북당들 다 없어져야해!!"
"31",31,"odettejoo","5/6/2012","차라리 신나게 전투라도 했으면 원통하지가 않지, 겉으로는 평화를 외치면서, 숨어서는 어뢰를 쏘고....어이상실~~ 남한 종북이들 언제쯤 북으로 보내버리나.."
"32",32,"odettejoo","5/6/2012","진보통 무슨당에 활약하며, 한국의 자유민주 국가를 흔들고 있는 것을 모르고 선거에서 햇 갈리고 있다.헐~ 이런것들이 무슨 당이야!! 빨갱이 집단이지! 어이없네!!!"
"33",33,"odettejoo","5/6/2012","통합진보당의 경선 부정 실태는 어처구니가 없을 정도다...."
"34",34,"odettejoo","5/6/2012","진보당에 '진보·민주'도 없고 '법과 상식'도 실종됐네..납세자인 국민은 세금이 주사파 의원들의 활동비로 사용되는지 분명히 알고 싶네~ 헐"
"35",35,"odettejoo","5/6/2012","더이상 무슨이유와 변명이 필요한지 이해가 않되는군요.

철면피 이상도 이하도 아닌 자들의 저주의 굳판,,,,,,,,,,,,,,,,,,,,,

북의 공산당과 무엇이다른지요통진당 해산 당연하것 아닌가요?"
"36",36,"dinghoa","5/7/2012","FTA, 제주해군기지, 광우병 등 틈만나면 반국가, 반정부 행태를 보이며 사회혼란 국론분열만 꾀하니, 그래서 어떻게 하겠다는 것인지... 그다음은 북에서 지령받아 어쩌려고... 하는 짓거리들이 참 진상이다."
"37",37,"juuiiya","5/7/2012","그럼에도 반미종북 성향의 좌편향 찌라시들이나 종북좌파 조직들은 매우 위험한 북한의 GPS교란테러에는 입을 다물고 '별 것도 아닌' 광우병 괴담 확산에는 열을 올리고 있으니 개탄할 일이다."
"38",38,"dinghoa","5/8/2012","부정선거해놓고 책임안지는 모습, 국민은 무어라고 할까? 민통당, 진보당 참 새누리당 2중대 많네. 새누리당은 가만히 있어도 제1당되는 것을 보면 2중대 공이 크다. 더 버텨라 그럴수록 더 깊은 수렁에 빠질것이다."
"39",39,"kiminhye0","5/8/2012","진정한 진보주의자라면 폐쇄적이요 반인간적인 북한에게 '당신들 이렇게 살면 안 된다'고 따끔하게 말해줘야 한다."
"40",40,"modular2","5/9/2012","통진당 당권파는 북한 인권과 북한 핵문제에 대해선 입도 뻥긋 않는다. 과거 이들과 한솥밥을 먹던 前 정책위의장이 이들은 "" 북한을 이상향 또는 마음의 고향, 또는 종갓집으로 생각한다""고 밝혔다. 이런 정당에 국고에서 60억원이나 지급된다고 한다."
"41",41,"sm7520up","5/9/2012","ㅉㅉRT @###ryfaceJane초등학생보다 못한 종북들 ㅋㅋㅋ 서울의 초, 중, 고 10명 가운데 7명이 북한이 실패한 불량국가라고 생각한다는데 종북들은 여전히 북한을 열렬히 추종하고 있으니..ㅉㅉ"
"42",42,"odettejoo","5/10/2012","유시민 대표는 서울 여성플라자에서 열린 전국운영위원회의 19대 총선 평가의 건 부분에서 ""왜 우리는 국민에게 설명할 수 없는 일을 할까""라며 이같이 말했다던데.. 종북정당이니깐 그렇지!! 자기도 다~~ 알면서 이제와서 모른척? ㅋ"
"43",43,"odettejoo","5/10/2012","종북알바들의 여러가지 특징!!!내가 글을 적으면 국민의 목소리고,
남이 글을 적으면 알바의 울부짖음 입니다.

 

사교육은 싫지만,
사교육 광고는 좋습니다.

 

언론 자유는 지켜야 하지만,
조중동은 폐간해야 합니다."
"44",44,"odettejoo","5/10/2012","박지원이 의원과 당선자들을 향해 총출동령을 내린 배경을 꼼꼼히 탐색해봐야 한다 

사실상 당원 동원령!이른바 국회 개원 투쟁인 것! 광화문 일대에서 좌파·종북·반미 세력, 그리고 민주당 지지 세력들이 총집결해 지들끼리 내부 결속하려는 수작 모를줄알아?"
"45",45,"parkkeewoo","5/11/2012","통진당 당선자 대다수가 전과자란다. 간첩단사건13년복역자.북한지하당간부출 신.국회최루탄투척자.막말 판사.주사파한총련간부.민 간인감금고문자.민족해방범 주체사상계열(NL).경기동 부연합단체...  골수 종북 단체다"
"46",46,"voiceofmee","5/12/2012","남파 간첩 김동식이 중요한 사실을 하나 폭로했다. 북한이 남한의 종북세력에 지침을 내려 '북한에 대한 지엽적 비판은 허용하지만 다섯 가지는 비판하면 안된다'고 못을 박았단다. 북한지도자, 세습, 북한체제, 주체사상, 인권탄압! 종북세력의 행태가 파악됨"
"47",47,"subakjoo9","5/13/2012","소련비밀문서 해제로 종북개들.북괴가 주장하던 북침은 거짓이엇슴이 드러낫음에도북침이라 생각하니.. 대답못한것임.. 아니 과거 완료 사건을 멀 치밀하게 생각해"
"48",48,"subakjoo9","5/13/2012","아직도 통합진보당 이정희 대표의 진정이 담겨있는 사죄는 없고, 어제는 이석기 비례대표 당선자가완벽한 선거는 없다는 말로 변명하기에 급급한 모습을 보이더니  당권파 당원들이 회의장에서 결국은 폭력까지 쓰는 사태를  바라보며 이제 분노가 치밉니다."
"49",49,"subakjoo9","5/13/2012","6.25가 남침인지 북침인지 모르는 이정희
[네티즌 패러디] 필명 ‘나라사랑’


6.25가 남침인지? 북침인지?에 대하여 요즘 한창 뜨고 있는 이정희 왈
 
""나중에 답하겠다!""  
 
참말로 미치고 팔짝 뛰어버리겠구먼! 정말 말이 안나오네!"
"50",50,"kiminhye0","5/15/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"51",51,"odettejoo","5/15/2012","최고 존엄 지키려는 삐뚤어진 20대 좌파~~ 김정은이 좋아하겠네!"
"52",52,"snailcharm","5/15/2012","통진당 중앙위원회에서 폭력에 가담하거나 고성과 욕설을 한 학생 당원 중에는 통합진보당 학생위원회 당원뿐만 아니라 21세기 한국대학생연합 소속 학생이 50여명에 달했다네요. 조직적으로 키워진 후비대? 공산당 전법 그대로?"
"53",53,"odettejoo","5/16/2012","난잡한 막장드라마라는 혹평과 더불어 종북 세력의 묻지 마 폭력난동을 이 땅에서 영원히 추방시켜야 하는것 아닌가? 간첩 잡기 운동이라도 시작해야 하나..."
"54",54,"odettejoo","5/16/2012","통진당 공천한 비례대표 후보중엔 전향하지 않은 간첩 사건 주범도 있다~ 게다가 지하당을 꾸리며 대학생 행동대장들까지 거느리는 두목가지 참 골골루 하는듯 ㅉㅉ"
"55",55,"changmin97","5/17/2012","주사파는 목적을 위해선 수단과 방법을 가리지 않는다. 진보당 폭력사태가 그 증거이며 김선동의 국회 테러는 시작에 불과하다. 김선동의 국회 최루탄 테러는 강기갑의 국회폭력에 이은 대한민국의 수치다."
"56",56,"odettejoo","5/17/2012","★종북진보퇴출★ 김일성의 졸개들이 국회에 입성하는 꼴 ~~우리는 보고만 있어야 하는가~??"
"57",57,"odettejoo","5/17/2012","""국가보다 당""이라더니 당마저 부정

진보당 자체 조사에서 비례대표 경선 부정으로 국회의원이 된 것으로 밝혀진 이석기·김재연 두 당선자는 여전히 사퇴 불가 입장을 고수하고 있네~ 북한 지령떨어질때까지 붙어있을라나.. 아이고!"
"58",58,"odettejoo","5/17/2012","부정경선 시비에 휘말린 통합진보당 이석기·김재연 등 비례대표 당선인들에 대해 국민 4명 중 3명꼴로 사퇴해야 한다고 생각하는 것으로 나타났다는데!! 간첩들이 국회 접수하는게 말이되??"
"59",59,"odettejoo","5/17/2012","지금 종북세력들이 제2의 촛불시위를 획책하려 애쓰고 있으나 우리는 과거 잘못된 촛불집회의 학습효과 덕분에 참여율이 극히 미미하며 그들의 선동에 쉽게 흔들리지 않은것 같네.."
"60",60,"odettejoo","5/17/2012","종북 주사파..국회 입성이라니!! 말도 안되네요~http://t.co/cPFD2Is4"
"61",61,"odettejoo","5/17/2012","하물며 통진당 폭력사태를 사주한 배후 세력이 반국가 행위로 그 이력도 찬란한(?) 김일성 졸개들이라면, 국가 안보차원에서라도 그냥 묵과하 수는 없는거 아닌가??!"
"62",62,"odettejoo","5/17/2012","★종북진보퇴출★ 국회 들어가려는 목적 따로 있는 통진당 비례대표들... 가라 가~ 좀"
